,Carbohydrate,Energy,Fat,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Calcium,Fibre,Vitamin D,Vitamin B12,Riboflavin,Vitamin C,Thiamin,Of which Polyunsaturated,Sodium,Vitamin E,Iodine,Vitamin B6,Omega 3,Chloride,Vitamin A,Manganese,Vitamin K,Potassium,Iron,Zinc,Niacin,Folic Acid,Pantothenic Acid,Biotin,Magnesium,Selenium,Salt Equivalent,Copper,Polyunsaturates,Of which Polyols,Of which Trans,Of which Starch,Cholesterol
134,18.7g,134kcal,4.2g,1.1g,3.5g,4.7g,0.36g,Waitrose Italian Tomato & Mozzarella Penne,,1.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,18.1g,166kcal,6.2g,1.5g,1.8g,8.3g,0.51g,Waitrose Asian Katsu Chicken Curry,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,17.5g,132kcal,3.8g,1.1g,3.0g,6.1g,0.32g,Waitrose Italian Chicken Arrabiata Penne,,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,16.5g,128kcal,3.1g,0.5g,3.2g,7.7g,0.71g,Waitrose Asian Nasi Goreng,,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,19.2g,142kcal,3.8g,1.1g,4.8g,6.5g,0.75g,Waitrose BBQ Pork with Sticky Rice,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,6.9g,130kcal,8.6g,3.6g,1.9g,6.0g,0.55g,Charlie Bighams Moussaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,15.3g,183kcal,10.9g,6.0g,2.0g,6.9g,0.70g,Charlie Bigham's Chicken Tikka Masala & Pilau Rice for 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,16.3g,147kcal,5.0g,0.9g,1.7g,8.6g,0.55g,Waitrose Indian Chicken Biryani,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,17.5g,139kcal,5.6g,1.2g,3.4g,2.8g,0.46g,Waitrose Indian Vegetable Biryani,,3.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,7.4g,125kcal,7.9g,6.1g,1.6g,4.4g,0.40g,Higgidy Roasted Cauliflower & Paneer Curry,,3.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,11.1g,95kcal,2.5g,0.4g,0.7g,6.7g,0.69g,Waitrose Asian Fusion Chilli Chicken Ramen,,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,11.6g,110kcal,2.8g,1.0g,3.6g,8.7g,0.33g,Waitrose Thrive Chicken Laksa & Black Noodles,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,14.0g,158kcal,7.9g,3.7g,2.0g,6.6g,0.61g,Waitrose Indian Chicken Korma & Pilau Rice,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,13.4g,156kcal,7.9g,2.8g,3.2g,7.1g,0.40g,Waitrose Indian Chicken Tikka Masala & Pilau Rice,,1.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,5.9g,76kcal,1.9g,0.8g,2.3g,8.2g,0.28g,Waitrose Classics Braised Beef & Mash,,1.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,12.1g,184kcal,10.2g,,2.2g,10.1g,0.70g,No.1 Lasagne,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,9.5g,104kcal,3.9g,2.0g,3.0g,6.9g,0.29g,Waitrose Classics Lamb with Mint & Redcurrant,,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,9.9g,90kcal,2.1g,0.9g,2.6g,6.4g,0.38g,LoveLife Keralan Chicken Biryani,,3.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,6.4g,110kcal,8.0g,1.9g,4.4g,2.0g,0.75g,Waitrose Indian vegetable masala,,2.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,12.9g,107kcal,2.6g,0.6g,1.2g,5.8g,0.27g,Waitrose Classic Roast Beef Dinner,,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,13.6g,145kcal,7.3g,4.5g,2.1g,6.7g,0.64g,Charlie Bigham's Thai Red Chicken Curry & Rice for 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,11.3g,79kcal,1.4g,0.5g,1.7g,4.5g,0.49g,LoveLife Cottage Pie,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,12.7g,189kcal,10.8g,3.2g,3.6g,9.5g,0.82g,Charlie Bigham's Meatballs Al Forno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,11.2g,128kcal,5.5g,2.6g,2.6g,7.8g,0.53g,Waitrose Classics Beef Casserole with Suet Dumplings,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,7.5g,85kcal,2.5g,1.4g,2.6g,7.4g,0.20g,Waitrose Classics Cod Fillet in Parsley Sauce,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,15.3g,118kcal,3.1g,1.3g,0.8g,6.5g,0.50g,Waitrose Classic Beef Stroganoff with Rice,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,7.4g,82kcal,3.7g,0.7g,5.3g,2.4g,0.40g,Higgidy Aubergine & Pepper Gratin,,5.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,11.6g,128kcal,5.5g,,1.7g,7.0g,0.55g,No.1 Cottage Pie,,2.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,10.1g,94kcal,2.6g,1.0g,2.3g,4.8g,0.28g,Higgidy Mushroom & Lentil Cottage Pie,,5.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,17.4g,129kcal,4.8g,1.5g,1.9g,3.1g,0.50g,Higgidy Mac 'n' Super Greens,,2.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,15.9g,111kcal,1.3g,0.5g,3.3g,7.8g,0.41g,LoveLife Chicken Tikka Masala with Pilau Rice,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,24.0g,230kcal,8.7g,0.8g,1.2g,12.1g,0.76g,The Real Yorkshire Pudding Co Meat Free Toad in the Hole,,3.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,12.1g,68kcal,0.5g,0.1g,2.4g,2.6g,0.43g,Kirsty's Lentil Cottage Pie,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,10.1g,84kcal,1.3g,,1.8g,7.2g,0.46g,LoveLife Calorie Controlled Fish Pie,,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,14.7g,180kcal,9.8g,5.7g,1.9g,7.6g,0.87g,Charlie Bigham's spaghetti carbonara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,10.7g,85kcal,2.6g,,2.2g,3.9g,0.45g,LoveLife Spinach & Ricotta Cannelloni,,1.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,16.1g,136kcal,5.8g,1.1g,2.1g,3.3g,0.42g,Waitrose Vegan Sweet Potato & Chickpea Curry,,3.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,12.8g,104kcal,2.6g,1.1g,1.4g,6.3g,0.36g,LoveLife Green Thai Chicken Curry & Pepper Rice,,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,14.9g,107kcal,2.1g,0.2g,3.5g,5.4g,0.35g,Waitrose Vegan Chilli with Soya Mince & Rice,,3.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,19.4g,129kcal,2.0g,0.9g,0.7g,7.4g,0.29g,Waitrose Classics Chicken in Mushroom Sauce,,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,10.1g,77kcal,1.0g,0.5g,1.3g,5.6g,0.41g,Kirstys Cottage Pie with Sweet Potato Mash,,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,10.2g,131kcal,6.6g,2.6g,2.0g,6.9g,0.43g,Waitrose Classics Lamb Hotpot,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,7.9g,81kcal,2.4g,0.8g,2.1g,6.0g,0.47g,LoveLife Chicken Madeira,,2.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,20.8g,176kcal,4.8g,,1.7g,11.4g,0.77g,No.1 Beef Ragu Tortiglione,,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,17.1g,145kcal,5.4g,2.3g,3.0g,5.5g,0.83g,Waitrose Vegan Green Thai Curry Soya Pieces & Rice,,3.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,15.8g,154kcal,6.3g,1.9g,3.4g,7.3g,0.71g,Waitrose Chicken & Chorizo Paella,,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,18.5g,111kcal,2.3g,0.3g,4.0g,2.6g,0.44g,Waitrose Vegan Vegetable Paella,,3.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,23.5g,156kcal,5.4g,1.2g,4.2g,2.6g,0.50g,Waitrose Vegan Sweet Potato Katsu Curry with Sticky Rice,,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,16.5g,122kcal,4.4g,3.0g,1.0g,3.0g,0.40g,Waitrose Vegan Mushroom Carbonara,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,12.1g,79kcal,2.4g,1.5g,2.0g,4.3g,0.43g,Kirsty's Lentil Lasagne,,3.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,14.3g,121kcal,4.7g,3.2g,0.7g,3.3g,0.40g,Waitrose Vegan Mac & Greens,,3.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,10.5g,98kcal,2.7g,0.5g,2.3g,6.7g,0.4g,Kirstys Spanish chicken with brown rice,,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,7.8g,82kcal,3.4g,1.45g,2.0g,6.2g,0.47g,Kirsty's Slow Cooked Beef with Colcannon,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,14.6g,103kcal,3.3g,1.0g,0.9g,2.6g,0.41g,Waitrose Vegetarian Mushroom Stroganoff with Wild Rice,,1.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,13.4g,87kcal,2.1g,1.4g,2.6g,3.2g,0.27g,Kirsty's Malaysian Butternut Squash Curry,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,11.9g,92kcal,2.3g,0.2g,2.2g,3.6g,0.03g,Little Dish Veg Chilli & Rice,,4.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,18.2g,193kcal,8.1g,0.7g,10.0g,10.9g,0.90g,Waitrose Chinese Battered Chicken Sweet & Sour Sauce,,1.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,20.4g,155kcal,4.4g,1.0g,0.5g,6.9g,0.55g,Waitrose Chinese Special Fried Rice,,2.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,12.2g,111kcal,2.5g,0.4g,10.8g,9.0g,0.39g,Waitrose Chinese Sweet & Sour Chicken,,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,5.9g,119kcal,5.9g,0.9g,5.4g,9.6g,0.70g,Waitrose Chinese Chicken with Cashew Nuts,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,6.1g,98kcal,3.9g,0.8g,4.3g,8.7g,0.73g,Waitrose Chinese Beef in Black Bean Sauce,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,5.8g,164kcal,11.1g,6.2g,4.2g,9.4g,0.71g,Waitrose Asian Red Thai Chicken Curry,,2.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,12.5g,124kcal,4.1g,1.5g,10.2g,8.0g,0.73g,Waitrose Chinese Char Sui Pork,,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,9.6g,152kcal,9.1g,5.1g,1.1g,8.4g,0.71g,Charlie Bigham's Fish Pie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,6.2g,156kcal,9.8g,4.6g,4.6g,9.4g,0.75g,Waitrose Asian Green Thai Chicken Curry,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,21.6g,232kcal,10.8g,0.9g,9.3g,11.5g,0.52g,Waitrose Crispy King Prawns,,1.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,35.6g,299kcal,14.7g,1.3g,17.7g,5.2g,0.75g,Waitrose Chinese Crispy Beef with Sweet Chilli Sauce,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,10.9g,188kcal,10.6g,5.0g,2.7g,10.5g,0.56g,Charlie Bigham's Lasagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,19.3g,273kcal,14.1g,1.2g,2.0g,16.3g,0.63g,Waitrose Chicken Karaage,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,4.9g,158kcal,9.4g,3.6g,4.0g,13.0g,0.42g,Waitrose Indian Chicken Tikka Masala,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,7.7g,107kcal,7.4g,3.7g,6.1g,1.3g,0.75g,Waitrose Asian Green Thai Vegetable Curry,,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,9.5g,185kcal,11.1g,3.3g,6.1g,10.9g,0.44g,Waitrose Asian Chicken in Satay Sauce,,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,36.8g,277kcal,11.6g,0.9g,4.8g,4.5g,0.58g,Waitrose Chinese Snack Selection,,3.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,4.9g,153kcal,9.9g,2.3g,4.9g,10.0g,0.55g,Waitrose Indian Lamb Rogan Josh,,1.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,16.4g,181kcal,10.0g,5.1g,2.0g,6.9g,0.67g,Charlie Bigham's Chicken Tikka Masala & Pilau Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,6.9g,130kcal,8.5g,3.5g,1.9g,6.1g,0.54g,Charlie Bigham's Moussaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,8.6g,187kcal,10.7g,4.6g,1.4g,12.7g,0.37g,Charlie Bigham's Cottage Pie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,7.0g,101kcal,3.7g,0.5g,5.7g,9.5g,0.71g,Waitrose Chicken in Szechuan Sauce,,1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,4.5g,111kcal,6.3g,3.7g,3.2g,8.3g,0.49g,Waitrose Chicken Panang,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,4.2g,119kcal,6.2g,0.6g,3.0g,10.5g,0.61g,Waitrose Indian Chicken Jalfrezi,,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,4.5g,153kcal,9.4g,4.8g,3.0g,11.6g,0.69g,Waitrose Indian Chicken Korma,,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,5.4g,166kcal,10.3g,4.9g,4.6g,12.3g,0.55g,Waitrose Indian butter chicken,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,9.7g,130kcal,5.6g,2.5g,0.9g,7.3g,0.74g,Charlie Bigham's Coq au Vin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,6.0g,85kcal,3.4g,0.6g,4.5g,6.6g,0.85g,Waitrose Chinese Takeaway Meal Bag For 2,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,15.1g,260kcal,11.8g,1.1g,2.2g,22.8g,0.89g,Waitrose Asian Spicy Fried Chicken,,1.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,14.7g,170kcal,9.5g,5.2g,1.6g,7.3g,0.73g,Charlie Bigham's chicken korma & pilau rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,7.4g,118kcal,5.4g,2.2g,6.8g,8.9g,0.23g,Waitrose Indian prawn mango masala,,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,8.0g,139kcal,7.1g,3.1g,1.6g,9.4g,0.42g,Charlie Bigham's beef bourguignon & dauphinoise potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,13.6g,145kcal,7.3g,4.5g,2.1g,6.7g,0.64g,Charlie Bigham's Thai Red Chicken Curry Fragrant Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,10.5g,117kcal,5.1g,2.7g,0.6g,6.8g,0.59g,Charlie Bigham's shepherd's pie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,16.4g,142kcal,4.7g,1.3g,2.7g,7.9g,0.62g,No.1 Paella,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,5.8g,153kcal,10.0g,4.0g,4.8g,9.4g,0.44g,Waitrose Indian Takeaway Meal for Two,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,11.2g,142kcal,6.9g,1.0g,2.8g,7.8g,0.69g,Charlie Bigham's Spanish Chicken & Roasted Potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,3.7g,121kcal,6.3g,2.3g,1.6g,11.2g,0.57g,No.1 Beef Bourguignon,,2.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,16.4g,146kcal,5.6g,3.2g,2.6g,7.3g,0.50g,Charlie Bigham's Thai Green Chicken Curry for 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,14.3g,139kcal,6.5g,2.6g,2.1g,6.5g,0.75g,Charlie Bigham's chicken jalfrezi & pilau rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,3.2g,119kcal,5.8g,1.3g,2.5g,12.5g,0.65g,Waitrose Indian chicken saag masala,,2.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,9.2g,152kcal,8.6g,4.6g,1.3g,8.3g,0.55g,Charlie Bigham's chicken with white wine sauce & mash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,6.3g,140kcal,7.5g,3.5g,5.0g,11.2g,0.60g,Waitrose Fruity Chicken Curry,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,12.4g,207kcal,12.9g,7.6g,1.5g,9.4g,0.83g,Charlie Bigham's Macaroni Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,4.8g,135kcal,6.4g,1.4g,3.7g,14.0g,0.60g,Waitrose Indian Chicken Shashlik,,0.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,5.0g,96kcal,7.0g,1.1g,3.8g,1.7g,0.61g,Waitrose Indian Aubergine Masala,,3.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,4.5g,118kcal,5.4g,2.2g,3.0g,12.4g,0.53g,Waitrose Indian chicken Madras,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,12.5g,190kcal,11.0g,3.3g,3.6g,9.7g,0.83g,Charlie Bigham's Meatballs Al Forno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,5.0g,139kcal,8.3g,0.9g,3.7g,10.2g,0.68g,Waitrose Indian Chicken Dopiaza,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,8.2g,184kcal,11.1g,3.3g,7.7g,12.0g,0.44g,Waitrose Asian Takeaway Meal Bag For 2,,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,13.0g,184kcal,11.7g,4.0g,4.9g,5.5g,0.71g,Waitrose Indian Vegetable Kofta Curry,,2.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,15.8g,159kcal,7.5g,2.6g,1.1g,7.2g,0.65g,Charlie Bigham's chicken & mushroom risotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,12.5g,146kcal,6.8g,2.8g,2.6g,8.1g,0.58g,Waitrose Italian Beef Lasagne,,1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,3.8g,189kcal,13.9g,9.2g,2.5g,11.2g,0.42g,Waitrose Indian Fish Curry,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,13.9g,133kcal,4.8g,0.8g,1.6g,7.0g,0.80g,Charlie Bigham's Paella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,9.9g,146kcal,9.6g,4.5g,2.5g,4.4g,0.62g,Charlie Bigham's spinach & ricotta cannelloni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,12.2g,188kcal,10.6g,,2.2g,10.1g,0.73g,No.1 Lasagne,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,3.7g,129kcal,6.4g,2.9g,2.8g,13.3g,0.52g,Waitrose Indian Fiery Chicken Curry,,1.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,19.0g,142kcal,4.1g,0.5g,6.5g,8.1g,0.81g,Charlie Bigham's Sweet & Sour Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,11.6g,128kcal,5.5g,3.0g,1.7g,7.0g,0.55g,No.1 Cottage Pie,,2.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,4.5g,111kcal,4.8g,1.0g,3.8g,11.9g,0.55g,Waitrose Indian Chicken Balti,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,13.7g,173kcal,8.8g,3.8g,0.7g,8.6g,0.73g,Charlie Bigham's beef stroganoff & rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,14.1g,140kcal,6.0g,2.0g,1.5g,7.2g,0.68g,Charlie Bigham's Chilli Con Carne & Mexican Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,5.3g,155kcal,8.9g,4.3g,4.3g,13.0g,0.61g,Waitrose Indian Hot Chicken Tikka Masala,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,10.6g,194kcal,13.1g,8.0g,2.0g,8.2g,0.70g,Charlie Bigham's Cauliflower Macaroni Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,16.1g,178kcal,7.4g,2.6g,2.6g,9.5g,0.72g,Charlie Bigham's spaghetti bolognese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,12.4g,142kcal,7.3g,3.0g,4.0g,5.2g,0.81g,Charlie Bigham's World of Grains Cauilflower & Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,4.0g,155kcal,10.4g,4.2g,3.5g,10.2g,0.48g,Waitrose Beef Coconut Masala,,2.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,17.5g,163kcal,8.7g,4.7g,2.2g,4.2g,0.80g,Charlie Bigham's Paneer Tikka Masala for 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,5.0g,134kcal,7.3g,1.1g,3.5g,10.9g,0.60g,Waitrose Indian Chicken Karahi,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,5.6g,106kcal,2.9g,0.5g,3.4g,12.2g,0.47g,Waitrose Indian Chicken Dhansak,,4.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,14.7g,139kcal,5.4g,2.6g,1.2g,7.1g,0.81g,Charlie Bigham's World of Grains Goan Fish Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,13.9g,162kcal,8.6g,3.4g,2.2g,6.6g,0.59g,No.1 Thai Green Chicken Curry,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,16.2g,103kcal,2.8g,1.1g,1.8g,3.4g,0.66g,Charlie Bigham's Sweet Potato & Bean Chilli with Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,16.6g,167kcal,7.3g,3.2g,2.1g,8.2g,0.53g,Waitrose Italian Beef Bolognese Pasta Bake,,1.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,21.9g,173kcal,4.8g,0.7g,5.7g,8.4g,0.80g,Charlie Bigham's World of Grains Moroccan Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,3.3g,108kcal,5.1g,0.6g,2.6g,11.4g,0.60g,Waitrose Chilli Chicken Masala,,1.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,4.2g,123kcal,7.1g,2.3g,2.2g,9.2g,0.45g,Waitrose Indian Chicken Pepper Masala,,2.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,31.0g,165kcal,2.8g,0.3g,0.6g,3.1g,0.36g,Waitrose Indian Pilau Rice,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,6.0g,86kcal,5.5g,1.0g,2.7g,2.0g,0.56g,Waitrose Indian Aloo Gobi Saag,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,53.6g,294kcal,3.8g,0.9g,3.3g,10.1g,2.29g,Waitrose Indian 2 Garlic & Coriander Naans,,3.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,25.0g,222kcal,10.7g,0.8g,4.2g,4.6g,0.85g,Waitrose Indian 4 Vegetable Samosas,,3.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,22.4g,240kcal,12.8g,1.0g,5.6g,5.8g,1.05g,Waitrose Indian 6 Onion Bhajis,,5.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,16.8g,248kcal,16.7g,1.4g,4.4g,5.3g,1.64g,Waitrose Indian Vegetable Snack Selection,,4.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,49.4g,276kcal,4.0g,0.9g,2.7g,9.3g,2.22g,Waitrose Indian 2 Tandoori Naans,,2.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,22.1g,136kcal,3.4g,0.3g,2.0g,2.8g,0.48g,Waitrose Indian Spinach & Carrot Pilau Rice,,2.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,9.7g,86kcal,1.9g,0.2g,1.2g,4.9g,0.60g,Waitrose Indian spinach dal,,5.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,15.9g,137kcal,5.3g,0.5g,2.1g,3.6g,0.74g,Waitrose Indian Snack Selection,,5.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,42.3g,289kcal,8.5g,4.6g,6.5g,8.6g,1.72g,Waitrose Indian 2 Peshwari Naans,,4.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,7.5g,205kcal,13.1g,2.5g,3.8g,13.6g,0.75g,Waitrose Indian Keralan Chicken Fry,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,55.1g,308kcal,4.5g,1.0g,3.2g,10.4g,2.40g,Waitrose Indian 2 Tandoori Naans,,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
